,CREDIT SCORE,FIRST_PAYMENT_DATE,FIRST_TIME_HOMEBUYER_FLAG,MATURITY_DATE,MSA_CODE,MI_PERCENTAGE,NUMBER_OF_UNITS,OCCUPANCY_STATUS,ORIGINAL_CLTV,DTI,ORIGINAL_UPB,ORIGINAL_LTV,ORIGINAL_INTEREST_RATE,CHANNEL,PPM_FLAG,Amortization_type,STATE,PROPERTY TYPE,POSTAL CODE,id_loan,LOAN_PURPOSE,ORIGINAL_LOAN_TERM,NUMBER_BORROWERS,SELLER NAME,Servicer_Name,SUPER CONFORMING FLAG,LSN,PROGRAM INDICATOR,HARP_INDICATOR,PROPERTY_VALUATION_METHOD,IO_INDICATOR
3430,817,202103,N,205102,39580.0,0,1,P,63,26,193000,63,2.75,C,N,FRM,NC,PU,27500,F21Q11616885,N,360,1,"AMERIHOME MORTGAGE COMPANY, LLC",PHH MORTGAGE CORPORATION,,,H,,2,N
3431,787,202105,N,205104,,0,1,P,41,45,250000,41,2.875,R,N,FRM,MI,SF,49600,F21Q11617035,C,360,2,Other sellers,Other servicers,,,9,,2,N
3432,670,202104,N,205103,33460.0,30,1,P,95,24,171000,95,3.25,R,N,FRM,MN,PU,56000,F21Q11617145,P,360,2,Other sellers,U.S. BANK N.A.,,,9,,2,N
3433,809,202104,N,203603,39300.0,0,1,P,57,24,205000,57,2.625,R,N,FRM,RI,SF,2800,F21Q11617288,N,180,2,Other sellers,Other servicers,,,9,,1,N
3434,794,202104,N,205103,33124.0,0,1,P,75,20,300000,75,2.75,B,N,FRM,FL,SF,33100,F21Q11617342,N,360,1,"PENNYMAC LOAN SERVICES, LLC","PENNYMAC LOAN SERVICES, LLC",,,9,,1,N
3435,794,202104,N,205103,13820.0,0,1,P,73,26,308000,73,2.999,R,N,FRM,AL,SF,35200,F21Q11617355,C,360,1,"PENNYMAC LOAN SERVICES, LLC","PENNYMAC LOAN SERVICES, LLC",,,9,,2,N
3436,740,202104,N,205103,38300.0,0,2,P,80,43,452000,80,2.5,B,N,FRM,PA,SF,15200,F21Q11617369,P,360,2,"PENNYMAC LOAN SERVICES, LLC","PENNYMAC LOAN SERVICES, LLC",,,9,,2,N
3437,780,202103,N,205102,45104.0,0,1,P,66,13,462000,66,2.75,R,N,FRM,WA,SF,98300,F21Q11617611,N,360,1,Other sellers,Other servicers,,,9,,1,N
3438,803,202104,N,204103,,0,1,P,63,45,113000,63,2.375,R,N,FRM,WI,MH,53900,F21Q11617662,N,240,2,Other sellers,Other servicers,,,9,,2,N
3439,812,202104,N,205103,41884.0,0,1,P,38,39,320000,38,2.75,B,N,FRM,CA,CO,94000,F21Q11617720,N,360,1,Other sellers,"PNC BANK, NA",,,9,,1,N
3440,741,202103,N,205102,14454.0,0,1,P,69,43,585000,69,2.875,R,N,FRM,MA,SF,2100,F21Q11617758,N,360,2,Other sellers,Other servicers,Y,,9,,1,N
3441,787,202104,N,203603,26420.0,0,1,P,71,32,215000,71,2.375,R,N,FRM,TX,PU,77400,F21Q11617772,C,180,1,Other sellers,Other servicers,,,9,,2,N
3442,787,202104,N,203603,33460.0,0,1,P,55,26,218000,55,2.5,B,N,FRM,MN,SF,55000,F21Q11617815,N,180,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,1,N
3443,712,202104,N,203603,17820.0,0,1,P,60,45,290000,60,1.999,B,N,FRM,CO,PU,80900,F21Q11617889,C,180,2,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,1,N
3444,703,202104,Y,205103,37100.0,0,1,P,80,42,540000,80,2.75,B,N,FRM,CA,SF,93000,F21Q11618043,P,360,1,"UNITED WHOLESALE MORTGAGE, LLC","UNITED WHOLESALE MORTGAGE, LLC",,,9,,1,N
3445,775,202104,N,205103,,0,1,P,69,29,205000,69,2.99,R,N,FRM,NV,SF,89400,F21Q11618154,C,360,1,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,MATRIX FINANCIAL SERVICES CORPORATION,,,9,,1,N
3446,668,202103,N,205102,49420.0,0,1,P,51,43,227000,51,2.875,R,N,FRM,WA,SF,98900,F21Q11618255,C,360,1,Other sellers,Other servicers,,,9,,1,N
3447,778,202105,N,205104,,0,1,P,80,24,181000,80,2.75,R,N,FRM,PA,SF,18200,F21Q11618344,N,360,2,Other sellers,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",,,9,,2,N
